iter	RMSE
0	2.72484499
1	2.589434976
2	2.522323304
3	2.442700668
4	2.406594018
5	2.340241011
6	2.307976522
7	2.269232144
8	2.223076851
9	2.207120994
10	2.195130805
11	2.175443114
12	2.170447691
13	2.161488931
14	2.136480211
15	2.116925138
16	2.11238875
17	2.096977788
18	2.084473914
19	2.073554865
20	2.056059216
21	2.040616144
22	2.026937777
23	2.009344067
24	1.989224123
25	1.98420392
26	1.975337676
27	1.966788396
28	1.950503341
29	1.943019064
30	1.93233393
31	1.919385581
32	1.906325526
33	1.895716598
34	1.875494067
35	1.864493904
36	1.853998715
37	1.844713484
38	1.836917913
39	1.834208587
40	1.830393638
41	1.817573374
42	1.808976422
43	1.795861438
44	1.792238175
45	1.789058946
46	1.776953091
47	1.768163241
48	1.765141177
49	1.756414286
50	1.747622615
51	1.738019536
52	1.733358024
53	1.72643648
54	1.721682356
55	1.71886987
56	1.715203965
57	1.713742599
58	1.708266984
59	1.701428986
60	1.697717962
61	1.687926936
62	1.683011742
63	1.681347778
64	1.679927078
65	1.674515966
66	1.663402587
67	1.661263878
68	1.657918919
69	1.656152594
70	1.653105516
71	1.650610732
72	1.64975353
73	1.643489051
74	1.636591115
75	1.630595313
76	1.626303945
77	1.619942369
78	1.617493507
79	1.615360535
80	1.611648443
81	1.602178425
82	1.598111725
83	1.597662581
84	1.596897962
85	1.596275945
86	1.588938328
87	1.583869706
88	1.577376574
89	1.571506905
90	1.568274776
91	1.564597907
92	1.562279501
93	1.560489667
94	1.557340994
95	1.552883274
96	1.549710625
97	1.545403463
98	1.540816896
99	1.540098626
