iter	Passed	Remaining
0	49	4873
1	50	2470
2	51	1654
3	51	1243
4	52	997
5	53	832
6	53	715
7	54	629
8	55	562
9	56	508
10	57	462
11	57	424
12	58	391
13	59	363
14	59	339
15	60	318
16	61	300
17	62	285
18	63	269
19	64	256
20	64	243
21	65	232
22	66	221
23	66	211
24	67	202
25	68	195
26	69	188
27	70	182
28	71	175
29	72	168
30	73	162
31	73	157
32	74	152
33	75	147
34	76	142
35	77	137
36	78	133
37	78	128
38	79	124
39	80	120
40	81	116
41	82	113
42	82	109
43	83	106
44	84	103
45	84	99
46	85	96
47	86	93
48	87	91
49	88	88
50	89	85
51	89	83
52	90	80
53	91	77
54	91	75
55	92	72
56	93	70
57	94	68
58	95	66
59	95	63
60	96	61
61	97	59
62	97	57
63	98	55
64	99	53
65	100	51
66	101	49
67	102	48
68	102	46
69	103	44
70	104	42
71	104	40
72	105	39
73	106	37
74	107	35
75	108	34
76	108	32
77	109	30
78	110	29
79	111	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	115	18
86	116	17
87	117	16
88	118	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	122	6
95	123	5
96	124	3
97	124	2
98	125	1
99	125	0
