id,price,area,bedrooms,wc,n_floors,car_place,latitude,longitude
121356,0.79,57,2.0,2.0,1.0,0,10.7138202,106.5893264
115827,2.6,16,4.0,3.0,3.0,0,10.7671266,106.6591211
115833,3.0,32,4.0,2.0733899125021718,5.0,1,10.745886,106.6392921
115834,4.6,38,3.0,4.0,3.0,1,10.7550202,106.6374474
115837,3.45,76,4.0,4.0,4.0,1,10.8678527,106.6231544
115839,3.95,64,2.0,2.0,1.0,1,10.7701658,106.6210149
121251,0.007,30,1.805904953499623,1.2476940799667275,1.0,1,10.8416385,106.6779368
121252,0.125,25,3.0,2.682382160282508,2.0,0,10.69541,106.59128
121247,4.7,70,3.0,2.0,1.0,1,10.7847065,106.6269418
121248,4.7,80,2.0,2.0,1.0,1,10.7765239,106.6420126
121244,6.8,35,2.0,2.0,1.0,0,10.7643397,106.7011609
121245,5.4,64,2.0,2.0,1.0,1,10.7054546,106.7395246
121243,5.15,56,3.0,3.0,2.0,1,10.8373485,106.6362851
121225,5.9,20,2.0,3.0,4.0,1,10.7770084,106.6811613
121217,5.3,75,3.0,2.0,2.0,1,10.8298295,106.7617899
121196,2.35,16,2.0,2.1405871531554923,3.0,1,10.7794346,106.6779732
121200,8.4,65,4.0,4.0,1.0,0,10.7959425,106.6660257
121202,5.8,66,2.0,2.0,1.0,1,10.7192735,106.605679
121203,5.78,70,2.0,2.0,1.0,1,10.8109552,106.6939936
121204,5.8,70,2.0,2.0,2.0,1,10.8067641,106.6871864
121205,5.7,52,3.0,3.0,3.0,1,10.7822816,106.6419755
121208,4.2,30,4.0,4.0,4.0,0,10.7959425,106.6660257
121169,3.45,48,2.0,2.0,1.0,1,10.7997594,106.5940301
121184,4.95,48,3.0,3.0,2.0,0,10.7652659,106.6037849
121177,0.007,55,2.0,2.0,1.0,0,10.7226042,106.6107045
121182,2.7,27,1.0,2.0,1.0,1,10.7610471,106.58872
121154,4.65,38,3.0,2.0,2.0,1,10.8548235,106.6560004
121157,6.85,56,3.0,3.0,2.0,0,10.7912672,106.7183182
121165,5.99,130,3.0,3.0,1.0,0,10.7708025,106.6221657
121130,10.2,64,5.0,5.0,2.0,0,10.7402847,106.73585
121131,2.0,52,2.43298455508645,1.539499841081742,1.0,1,10.8778137,106.7323493
121133,6.3,64,2.0,2.0,3.0,1,10.836088,106.7567252
121136,6.0,29,4.0,4.0,3.0,0,10.7595866,106.6672386
121139,2.9,33,1.0,1.0,2.0,0,10.8397,106.77093
121113,4.95,58,3.0,2.0,3.0,0,10.7441175,106.6507814
121083,7.0,85,3.0,1.0,2.0,1,10.7912672,106.7183182
121085,1.8,59,2.0,2.0,1.0,0,10.8397,106.77093
121087,6.5,73,3.0,2.0,2.0,1,10.8239658,106.7069973
121118,5.0,48,4.0,4.0,5.0,1,10.7728443,106.6141073
121090,5.5,35,2.0,2.0,2.0,0,10.7838647,106.6559153
121093,5.5,47,3.0,4.0,3.0,0,10.7941456,106.6222286
121095,9.0,45,3.0,3.0,4.0,1,10.7594668,106.6839548
121099,10.0,100,3.0,2.0,2.0,0,10.7822816,106.6419755
121004,6.3,55,4.0,3.0,4.0,0,10.7914967,106.6278431
121006,8.0,60,3.0,3.0,3.0,0,10.7914967,106.6278431
121009,2.75,43,2.0,2.0,2.0,0,10.8678527,106.6231544
121016,6.4,91,3.0,3.0,3.0,0,10.7530057,106.6913165
121023,5.35,60,4.0,3.05308764844817,3.0,1,10.85778,106.74111
121027,6.3,64,2.0,2.0,3.0,1,10.836088,106.7567252
121028,4.8,50,2.0,2.7047074222557588,2.0,1,10.7941456,106.6222286
121032,6.7,106,2.0,2.0,1.0,1,10.776182,106.6109757
121033,5.009,54,3.0,3.0,2.0,0,10.8435958,106.6493725
121034,0.0,80,2.0,2.0,2.0,0,10.8397,106.77093
121046,4.78,36,4.0,4.0,2.0,1,10.8227982,106.6880978
121050,0.015,68,2.0,1.0,1.0,0,10.7925784,106.6419952
121053,4.55,37,3.0,3.0,2.0,1,10.737689,106.6566865
121054,5.2,73,2.0,3.0,2.0,1,10.7853595,106.601389
121057,5.35,96,4.0,3.0,3.0,1,10.7853595,106.601389
121077,3.539,50,2.0,3.0,1.0,1,10.7867835,106.6796794
121078,3.59,56,4.0,3.0,2.0,1,10.8415309,106.6571996
118674,0.0,0,3.0,2.7894651039542935,2.0,0,10.8397,106.77093
118681,0.0,0,3.0,2.7894651039542935,2.0,0,10.8397,106.77093
120899,0.0,100,1.0,1.0,2.0,0,10.7607328,106.7075519
120906,9.5,56,5.0,5.0,2.0,0,10.8032016,106.7225025
120909,6.0,84,2.0,2.0,1.0,0,10.8397,106.77093
120911,4.95,33,3.0,4.0,3.0,1,10.7794346,106.6779732
121000,0.03,100,2.325464728401744,1.0,3.0,0,10.7607328,106.7075519
120924,5.35,54,2.0,2.0,1.0,0,10.8435958,106.6493725
120949,6.7,46,3.0,3.0,1.0,1,10.7392302,106.7083639
120954,3.9,30,2.0,2.0,2.0,1,10.7634956,106.6531711
120956,5.4,20,2.0,3.0,3.0,0,10.7780926,106.6658339
120958,5.8,48,3.224394439286359,3.0628350650671607,1.0,1,10.7971043,106.6632766
120961,5.4,20,2.0,3.0,3.0,0,10.7780926,106.6658339
120967,3.6,33,2.0,2.0,2.0,0,10.7680027,106.6355945
120971,6.9,65,2.0,3.0,3.0,0,10.754153,106.6555509
120977,3.9,50,4.0,2.0,2.0,1,10.7822816,106.6419755
120991,1.82,12,3.0,2.0,4.0,1,10.7780926,106.6658339
120993,1.8,12,3.0,2.0,4.0,1,10.7780926,106.6658339
118995,7.0,85,4.0,4.0,5.0,1,10.68881,106.5840247
120796,5.9,54,4.0,3.0,3.0,0,10.8524661,106.6606113
120802,5.35,25,3.0,3.0,5.0,1,10.80905,106.6856488
120804,1.45,32,2.0,2.0,2.0,0,10.7338964,106.6799449
120812,5.8,64,4.0,4.0,4.0,0,10.7703708,106.5996353
120817,6.7,60,4.0,3.0,4.0,0,10.8397,106.77093
120877,5.89,63,2.0,2.0,2.0,1,10.8030331,106.7093775
120819,3.8,30,2.0,2.0,1.0,0,10.8227982,106.6880978
120878,2.5,107,1.0,1.0,2.0,0,10.8770551,106.5823173
120821,3.23,17,2.0,3.0,3.0,1,10.77306,106.75444
120824,5.0,46,3.0,2.0,2.0,0,10.7541008,106.7203638
120825,4.3,48,3.0,3.0,3.0,1,10.7823004,106.5992453
120828,3.55,35,2.0,2.0,3.0,0,10.8347253,106.6734156
120831,3.7,31,3.0,3.0,2.0,1,10.8166252,106.6763871
120836,11.8,88,5.0,6.0,3.0,1,10.7256369,106.6983417
120837,8.0,80,4.0,5.0,4.0,1,10.698987,106.7386892
120838,4.39,63,3.0,3.0,2.0,1,10.8435958,106.6493725
120842,4.97,72,2.0,2.0,2.0,0,10.8397,106.77093
120843,4.97,72,2.0,2.0,2.0,0,10.8397,106.77093
120862,5.2,38,3.0,2.0,2.0,0,10.7794346,106.6779732
120865,4.98,43,3.0,2.0,2.0,0,10.8284499,106.6419327
120725,11.9,100,4.90130939387605,1.0,2.0,0,10.7941456,106.6222286
120729,3.5,42,2.0,1.0,1.0,0,10.7822816,106.6419755
120730,2.5,28,2.0,2.0,2.0,0,10.7728443,106.6141073
120741,5.2,26,4.0,3.0,2.0,0,10.7638821,106.6757725
120753,3.0,27,2.0,2.0,1.0,1,10.8415309,106.6571996
120760,5.3,29,3.0,4.0,2.0,1,10.7780926,106.6658339
120762,2.3,26,1.0,1.0,1.0,0,10.7752443,106.6476765
120764,2.2,34,1.0,1.0,1.0,0,10.8298295,106.7617899
120770,7.5,69,3.0,4.0,4.0,1,10.8406385,106.7656211
120780,9.3,80,4.159166680249113,4.17531273771953,3.0,0,10.8040522,106.6206836
120781,4.55,40,3.0,3.0,2.0,0,10.7722032,106.6218333
120785,3.75,35,2.0,2.0,1.0,0,10.7612143,106.6085359
120788,4.1,100,1.0,1.0,2.0,1,10.8678527,106.6231544
120791,8.7,76,4.0,5.0,2.0,0,10.745886,106.6392921
120794,5.8,52,3.0,4.0,3.0,1,10.7822816,106.6419755
120710,2.9,36,2.0,1.9958220212886202,2.0,0,10.8524661,106.6606113
120712,2.9,36,2.0,1.9958220212886202,2.0,0,10.8524661,106.6606113
120716,3.85,11,3.0,3.0,1.0,1,10.8185798,106.688051
120719,7.0,83,3.0,2.0,2.0,1,10.8150491,106.6878297
120720,3.99,28,2.0,2.0,2.0,1,10.8380478,106.6521633
120630,6.4,31,2.0,3.0,3.0,0,10.767749,106.6670229
120641,4.0,44,3.0,2.4504123342807698,3.0,1,10.7823004,106.5992453
120654,3.75,36,2.0,2.0,2.0,1,10.8067641,106.6871864
120655,5.46,62,4.0,4.0,2.0,0,10.7378865,106.6343816
120657,3.8,33,2.0,1.0,1.0,0,10.7962352,106.6743953
120661,3.39,32,2.0,2.0,2.0,1,10.8435958,106.6493725
120663,5.9,58,4.0,4.0,4.0,1,10.8116148,106.6982858
120671,5.9,70,4.0,6.0,2.0,0,10.769218,106.5928689
120682,11.9,100,4.900826565117432,3.8337220072790696,4.0,0,10.812483,106.6237735
120688,12.4,80,4.831990363263765,4.3135391401199685,3.0,0,10.812483,106.6237735
120698,4.8,37,2.0,2.852789921414699,1.0,0,10.7752178,106.6483878
120699,3.4,56,3.0,1.0,1.0,0,10.713069,106.6265708
120702,5.3,45,2.0,2.0,2.0,1,10.7926036,106.6539089
120703,10.5,120,4.0,4.0,2.0,1,10.7057611,106.6460087
120704,8.3,115,3.0,3.0,1.0,1,10.8397,106.77093
120709,3.755,100,3.0,2.0,2.0,0,10.8397,106.77093
119857,5.5,95,3.0,2.0,1.0,1,10.8678527,106.6231544
119859,7.2,38,2.0,2.0,2.0,0,10.7665974,106.6764087
119870,10.0,30,3.0,4.0,4.0,1,10.7816783,106.6969506
119873,4.5,80,2.0,2.0,2.0,0,10.8397,106.77093
119878,6.15,51,3.0,4.0,3.0,1,10.8483113,106.7471122
119895,2.6,21,2.0,2.0,1.0,0,10.7482816,106.6817654
119896,3.0,21,2.0,2.0,2.0,0,10.7441872,106.6560731
119899,7.3,52,4.0,4.0,3.0,0,10.797171,106.6807364
119900,5.8,31,3.0,3.0,4.0,0,10.7595866,106.6672386
119901,4.3,48,4.0,2.4147693495565803,3.0,1,10.7610471,106.58872
119903,5.3,45,5.0,3.0,2.0,0,10.7374543,106.6335409
