id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	location2
121356	0.79	57	2.0	2.0	1	False		cơ bản	False	sổ đỏ/ sổ hồng	tân kiên	bình chánh	tin thường	11/10/2024	tân kiên bình chánh
115827	2.6	16	4.0	3.0	3	False			False	sổ đỏ/ sổ hồng	lý thường kiệt	quận 10	tin thường	22/07/2024	đường lý thường kiệt, 14
115833	3.0	32	4.0		5	True			False	sổ đỏ/ sổ hồng		quận 6	tin thường	22/07/2024	phường 14, quận 6, hồ chí minh
115834	4.6	38	3	4.0	3	True			False	sổ đỏ/ sổ hồng	tân hóa	quận 6	tin thường	22/07/2024	đường tân hóa, 10
115835	17.8	66	6.0	6.0	5	True			True	sổ đỏ/ sổ hồng	hương giang	quận 10	tin thường	22/07/2024	đường hương giang, 15
115836	7.9	80	2.0	2.0	1	False			True	sổ đỏ/ sổ hồng	nguyễn ngọc lộc	quận 10	tin thường	22/07/2024	đường nguyễn ngọc lộc, 14
115837	3.45	76	4.0	4.0	4	True			False	sổ đỏ/ sổ hồng		quận 12	tin thường	22/07/2024	đường dương thị mười, tân chánh hiệp
115839	3.95	64	2.0	2.0	2	True			False	sổ đỏ/ sổ hồng		bình tân	tin thường	22/07/2024	đường đinh xuân nghi, bình trị đông
115840	13.2	50	4.0	4.0	3	False			True	sổ đỏ/ sổ hồng	cao thắng	quận 10	tin thường	22/07/2024	đường cao thắng, 12
115842	15.5	67	15.0	15.0	6	True			True	sổ đỏ/ sổ hồng	cao thắng	quận 10	tin thường	22/07/2024	đường cao thắng, 12
115843	28.5	88	7.0	7.0	5	False			True	sổ đỏ/ sổ hồng	cách mạng tháng 8	quận 10	tin thường	22/07/2024	đường cách mạng tháng tám, 15
115845	15.5	71	5.0	5.0	4	True			False	sổ đỏ/ sổ hồng	hòa hảo	quận 10	tin thường	22/07/2024	đường hòa hảo, 5
115846	18.0	72	5.0	5.0	3	True			False	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	22/07/2024	đường tô hiến thành, 15
115847	22.9	73	5.0	5.0	4	False			True	sổ đỏ/ sổ hồng	nguyễn lâm	quận 10	tin thường	22/07/2024	đường nguyễn lâm, 6
121247	4.7	70	3.0	2.0	1	True	đông		False		phú thọ hòa	tân phú	tin thường	06/10/2024	phú thọ hoà
121248	4.7	80	2.0	2.0	1	True	đông		False			tân phú	tin thường	06/10/2024	phú trung
121244	6.8	35	2.0	2.0	1	False			True	sổ đỏ/ sổ hồng	vĩnh khánh	quận 4	tin thường	06/10/2024	phố ẩm thực vĩnh khánh
121245	5.4	64	2.0	2.0	1	True	tây nam	2 giường, 2 nệm, 2 máy lạnh, bếp hồng ngoại điện từ 3in1, quạt, 1máy nước nóng lạnh, 2 tủ quần áo mini	False	sổ đỏ/ sổ hồng	chuyên dùng	quận 7	mã tin	06/10/2024	41/36/1g chuyên dùng 9, p phú mỹ q7
121243	5.15	56	3.0	3.0	2	True			False	sổ đỏ/ sổ hồng	phan huy ích	gò vấp	tin thường	06/10/2024	phan huy ích
121225	5.9	20	2.0	3.0	4	True			True	sổ đỏ/ sổ hồng	3/2	quận 10	tin thường	04/10/2024	606 đường 3/2, p14, q10
121217	5.3	75	3.0	2.0	2	True			False	sổ đỏ/ sổ hồng	số 6	thủ đức	tin thường	03/10/2024	đường 6, phường hiệp bình phước, quận thủ đức, hồ chí minh
115855	5.6	37	5.0	4.0	4	True			True	sổ đỏ/ sổ hồng	phan văn hớn	quận 12	tin thường	23/07/2024	đường phan văn hớn, tân thới nhất
121195	24.0	82	11.0	8.0		False			False	sổ đỏ/ sổ hồng	trần thiện chánh	quận 10	tin thường	02/10/2024	đường trần thiện chánh, 12
121196	2.35	16	2.0		3	True			False	sổ đỏ/ sổ hồng	cách mạng tháng 8	quận 10	tin thường	02/10/2024	đường cách mạng tháng tám, 13
121200	8.4	65	4.0	4.0	1	True		full nt	False	sổ đỏ/ sổ hồng	lê văn sỹ	tân bình	tin thường	02/10/2024	lê văn sỹ p1 tân bình
121202	5.8	66	2.0	2.0	1	True			False	sổ đỏ/ sổ hồng	võ văn kiệt	bình tân	tin thường	02/10/2024	đường võ văn kiệt, an lạc
121203	5.78	70	2.0	2.0	1	True			False	sổ đỏ/ sổ hồng	tăng bạt hổ	bình thạnh	tin thường	02/10/2024	đường tăng bạt hổ, 11
121204	5.8	70	2.0	2.0		True			False	sổ đỏ/ sổ hồng	nguyễn văn đậu	bình thạnh	tin thường	02/10/2024	đường nguyễn văn đậu, 11
121205	5.7	52	3.0	3.0	3	True			False	sổ đỏ/ sổ hồng		quận 2	tin thường	02/10/2024	đường nguyễn duy trinh, bình trưng tây
121208	4.2	30	4.0	4.0	4	False		full	False	sổ đỏ/ sổ hồng	lê văn sỹ	tân bình	tin thường	03/10/2024	lê văn sỹ p1 tân bình
121169	3.45	48	2.0	2.0	1	True			False	sổ đỏ/ sổ hồng	liên khu 5	bình tân	tin thường	02/10/2024	đường liên khu 5-6, bình hưng hòa b
121184	4.95	48	3.0	3.0	2	False			False	sổ đỏ/ sổ hồng	hương lộ 2	bình tân	tin thường	02/10/2024	đường hương lộ 2, bình trị đông a
121185	5.09	50	6.0	8.0	4	False			False	sổ đỏ/ sổ hồng	nguyễn tư giản	gò vấp	tin thường	02/10/2024	đường nguyễn tư giản, 12
121187	11.09	200	15.0	15.0	1	False	{var:huongid}		False	sổ đỏ/ sổ hồng	quang trung	gò vấp	tin thường	02/10/2024	đường quang trung, 11
121190	10.9	128	17.0	17.0		True			False	sổ đỏ/ sổ hồng	lê văn thọ	gò vấp	tin thường	02/10/2024	đường lê văn thọ, 11
121191	5.5	64	4.0	4.0	4	True			True	sổ đỏ/ sổ hồng	phạm đăng giảng	bình tân	tin thường	02/10/2024	đường phạm đăng giảng, bình hưng hòa
121178	5.0	90	1.0	1.0		True			True	sổ đỏ/ sổ hồng	phạm đăng giảng	bình tân	tin thường	02/10/2024	đường phạm đăng giảng, bình hưng hòa
121182	2.7	27	1.0	2.0		True			False	sổ đỏ/ sổ hồng	lê đình cẩn	bình tân	tin thường	02/10/2024	đường lê đình cẩn, tân tạo
121154	4.65	38	3.0	2.0	2	True			False	sổ đỏ/ sổ hồng	lê đức thọ	gò vấp	tin thường	02/10/2024	đường lê đức thọ, 16
121157	6.85	56	3.0	3.0	2	False			False	sổ đỏ/ sổ hồng	nguyễn hữu cảnh	bình thạnh	tin thường	02/10/2024	đường nguyễn hữu cảnh, 22
121159	4.85	37	4.0	3.0	4	True			True	sổ đỏ/ sổ hồng	phan văn hớn	quận 12	tin thường	02/10/2024	đường phan văn hớn, tân thới nhất
121162	5.7	72	1.0	1.0		False			True	sổ đỏ/ sổ hồng	tân chánh hiệp	quận 12	tin thường	02/10/2024	đường tân chánh hiệp 35, tân chánh hiệp
121165	5.99	130	3.0	3.0	1	True			False	sổ đỏ/ sổ hồng	phan anh	tân phú	tin thường	02/10/2024	đường phan anh, hiệp tân
121130	10.2	64	5.0	5.0	2	False			True	sổ đỏ/ sổ hồng	nguyễn văn quỳ	quận 7	tin thường	02/10/2024	đường nguyễn văn quỳ, phú thuận
121129	16.7	90	4.0	5.0	3	False			True	sổ đỏ/ sổ hồng	phạm hữu lầu	quận 7	tin thường	02/10/2024	đường phạm hữu lầu, bình thuận
121131	2.0	52				True			False	sổ đỏ/ sổ hồng	số 1	thủ đức	tin thường	02/10/2024	đường 1, bình chiểu
121133	6.3	64	2.0	2.0	3	True			False	sổ đỏ/ sổ hồng	số 2	thủ đức	tin thường	02/10/2024	đường 2, trường thọ
121136	6.0	29	4.0	4.0	3	False			False	sổ đỏ/ sổ hồng	nguyễn tiểu la	quận 10	tin thường	02/10/2024	đường nguyễn tiểu la, 8
121139	2.9	33	1.0	1.0		False			False	sổ đỏ/ sổ hồng	số 1	quận 9	tin thường	02/10/2024	đường 1, long thạnh mỹ
121149	3.6	42	4.0	3.0	2	True			True	sổ đỏ/ sổ hồng		nhà bè	tin thường	02/10/2024	đường huỳnh tấn phát, nhà bè
121111	5.8	45	3.0	3.0		False			True	sổ đỏ/ sổ hồng	số 1	bình thạnh	tin thường	02/10/2024	đường 1, 28
121113	4.95	58	3.0	2.0	3	False			False	sổ đỏ/ sổ hồng	võ văn kiệt	quận 6	tin thường	02/10/2024	đường võ văn kiệt, 7
121083	7.0	85	3.0	1.0	2	True			False	sổ đỏ/ sổ hồng	nguyễn hữu cảnh	bình thạnh	tin thường	01/10/2024	đường nguyễn hữu cảnh, 22
121085	1.8	59	2.0	2.0		False			False	hợp đồng mua bán	nguyễn xiển	quận 9	tin thường	01/10/2024	đường nguyễn xiển, long thạnh mỹ
121086	22.0	0				False			True	sổ đỏ/ sổ hồng	nguyễn oanh	gò vấp	tin thường	01/10/2024	đường nguyễn oanh, 6
121087	6.5	73	3.0	2.0	2	True			False	sổ đỏ/ sổ hồng	nơ trang long	bình thạnh	tin thường	01/10/2024	đường nơ trang long, 12
121117	35.0	112	10.0	11.0	4	False			True	sổ đỏ/ sổ hồng	lý chính thắng	quận 3	tin thường	02/10/2024	đường lý chính thắng, 8
121118	5.0	48	4.0	4.0	5	True			False	sổ đỏ/ sổ hồng	trương phước phan	bình tân	tin thường	02/10/2024	đường trương phước phan, bình trị đông
121120	16.0	90	4.0	5.0	3	True			True	sổ đỏ/ sổ hồng	phạm hữu lầu	quận 7	tin thường	02/10/2024	đường phạm hữu lầu, bình thuận
121090	5.5	35	2.0	2.0	2	False			False	sổ đỏ/ sổ hồng	nghĩa phát	tân bình	tin thường	01/10/2024	đường nghĩa phát, 7
121091	22.0	0	5	4	2	False			True	sổ đỏ/ sổ hồng		bình tân	tin thường	01/10/2024	đường bà hom, an lạc
121093	5.5	47	3.0	4.0	3	True			False	sổ đỏ/ sổ hồng	nguyễn súy	tân phú	tin thường	01/10/2024	đường nguyễn súy, tân quý
121095	9.0	45	3.0	3.0	4	True			False	sổ đỏ/ sổ hồng	nguyễn trãi	quận 5	tin thường	01/10/2024	đường nguyễn trãi, 7
121099	10.0	100	3.0	2.0	2	False	đông		False	sổ đỏ/ sổ hồng	số 4	quận 2	tin thường	01/10/2024	đường 49, bình trưng đông
121100	17.69	192	1.0	1.0	4	True			True	sổ đỏ/ sổ hồng	tô ký	quận 12	tin thường	01/10/2024	đường tô ký, tân chánh hiệp
121103	18.0	80	2.0	2.0	1	True	đông		False	sổ đỏ/ sổ hồng	đỗ quang	quận 2	tin thường	01/10/2024	đường đỗ quang, thảo điền
121004	6.3	55	4	3	4	False			False	sổ đỏ/ sổ hồng	số 1	tân phú	tin thường	01/10/2024	đường 1, hiệp tân
121006	8.0	60	3	3	3	False			False	sổ đỏ/ sổ hồng	số 1	tân phú	tin thường	01/10/2024	đường 1, hiệp tân
121007	7.0	48	6	5	5	True			True	sổ đỏ/ sổ hồng	thoại ngọc hầu	tân phú	tin thường	01/10/2024	đường thoại ngọc hầu, hiệp tân
121009	2.75	43	2.0	2.0	2	False	nam		False	sổ đỏ/ sổ hồng	tân chánh hiệp	quận 12	tin thường	01/10/2024	tân chánh hiệp 35
121016	6.4	91	3.0	3.0	3	False			False	sổ đỏ/ sổ hồng	tôn thất thuyết	quận 4	tin thường	01/10/2024	đường tôn thất thuyết, 16
121019	12.0	125	4.0	4.0	2	False			True	sổ đỏ/ sổ hồng	nguyễn thị tràng	quận 12	tin thường	01/10/2024	đường nguyễn thị đặng, hiệp thành
121020	6.5	100	2.0	2.0	1	False			True	sổ đỏ/ sổ hồng	đông hưng thuận	quận 12	tin thường	01/10/2024	đường đông hưng thuận 6, đông hưng thuận
121022	6.7	70	5.0	5.0	4	True			True	sổ đỏ/ sổ hồng	huỳnh tấn phát	quận 7	tin thường	01/10/2024	đường huỳnh tấn phát, phú thuận
121023	5.35	60	4.0		3	True			False	sổ đỏ/ sổ hồng		bình tân	tin thường	01/10/2024	đường đất mới, bình trị đông a
121025	5.5	60	3.0			True			True	sổ đỏ/ sổ hồng	nghi xuân	bình tân	tin thường	01/10/2024	đường đình nghi xuân, bình trị đông
121027	6.3	64	2.0	2.0	3	True			False	sổ đỏ/ sổ hồng	số 2	thủ đức	tin thường	01/10/2024	đường 2, trường thọ
121028	4.8	50	2.0		2	True			False	sổ đỏ/ sổ hồng	gò dầu	tân phú	tin thường	01/10/2024	đường gò dầu, tân quý
121030	4.8	76	4.0	4.0	3	True			True	sổ đỏ/ sổ hồng	tân chánh hiệp	quận 12	tin thường	01/10/2024	đường tân chánh hiệp 3, tân chánh hiệp
121031	30.6	307				True			False	sổ đỏ/ sổ hồng	dương quảng hàm	gò vấp	tin thường	01/10/2024	đường dương quảng hàm, 5
121032	6.7	106	2.0	2.0	1	True			False	sổ đỏ/ sổ hồng	lê văn quới	bình tân	tin thường	01/10/2024	đường lê văn quới, bình hưng hòa a
121033	5.009	54	3.0	3.0	2	True			False	sổ đỏ/ sổ hồng	nguyễn văn nghi	gò vấp	tin thường	01/10/2024	đường nguyễn văn khối, 9
121036	22.0	93	2.0	2.0	1	False			True	sổ đỏ/ sổ hồng	nguyễn cư trinh	quận 1	tin thường	01/10/2024	đường nguyễn cư trinh, nguyễn cư trinh
121041	5.45	33	3.0	4.0	4	False			True	sổ đỏ/ sổ hồng	trần hữu trang	phú nhuận	tin thường	01/10/2024	đường trần hữu trang, 11
121042	0.939	100	2.0	2.0	1	False		cơ bản	False	sổ đỏ/ sổ hồng		bình chánh	tin thường	01/10/2024	bình chánh
121046	4.78	36	4.0	4.0	2	True			False	sổ đỏ/ sổ hồng	nguyễn văn nghi	gò vấp	tin thường	01/10/2024	đường nguyễn văn nghi, 7
121047	24.0	100				False	{var:huongid}		True	sổ đỏ/ sổ hồng	nguyễn cư trinh	quận 1	tin thường	01/10/2024	đường nguyễn cư trinh, nguyễn cư trinh
121048	18.8	38			3	False			True	sổ đỏ/ sổ hồng	lý thường kiệt	quận 10	tin thường	01/10/2024	đường lý thường kiệt, 14
121051	4.85	48	4.0	5.0	2	False			True	sổ đỏ/ sổ hồng	phạm văn chiêu	gò vấp	tin thường	01/10/2024	đường phạm văn chiêu, 14
121053	4.55	37	3.0	3.0	2	True			False	sổ đỏ/ sổ hồng	bùi minh trực	quận 8	tin thường	01/10/2024	đường bùi minh trực, 5
121054	5.2	73	2.0	3.0	2	True			False	sổ đỏ/ sổ hồng	liên khu 2-10	bình tân	tin thường	01/10/2024	đường liên khu 2-10, bình hưng hòa a
121055	7.0	72	9.0	9.0	3	True			False	sổ đỏ/ sổ hồng	bùi văn ba	quận 7	tin thường	01/10/2024	đường bùi văn ba, tân thuận đông
121057	5.35	96	4.0	3.0	3	True			False	sổ đỏ/ sổ hồng	liên khu 2-10	bình tân	tin thường	01/10/2024	đường liên khu 2-10, bình hưng hòa a
121059	31.5	187	3.0	2.0		False	tây nam		False	sổ đỏ/ sổ hồng	thiên phước	tân bình	tin thường	01/10/2024	đường thiên phước, 9
121062	26.5	110	17.0	18.0	5	True			True	sổ đỏ/ sổ hồng	sầm sơn	tân bình	tin thường	01/10/2024	đường sầm sơn, 4
121065	5.0	133	2.0	3.0	2	True			False	sổ đỏ/ sổ hồng	số 1	gò vấp	tin thường	01/10/2024	đường đường số 14, 8
121067	8.0	50				False			True	sổ đỏ/ sổ hồng	nguyễn cư trinh	quận 1	tin thường	01/10/2024	đường nguyễn cư trinh, nguyễn cư trinh
121071	32.0	0			3	False			True	sổ đỏ/ sổ hồng	lý chính thắng	quận 3	tin thường	01/10/2024	đường lý chính thắng, 8
121072	37.0	0			3	True			True	sổ đỏ/ sổ hồng	nguyễn đình chiểu	quận 1	tin thường	01/10/2024	đường nguyễn đình chiểu, đa kao
121073	16.9	110	6.0	6.0	1	True			True	sổ đỏ/ sổ hồng	hoa sứ	phú nhuận	tin thường	01/10/2024	đường hoa sứ, 7
121075	3.75	27	2.0	2.0	2	False			True	sổ đỏ/ sổ hồng	số 9	gò vấp	tin thường	01/10/2024	đường số 9, 9
121077	3.539	50	2	3	1	True			False	sổ đỏ/ sổ hồng	lê văn sỹ	quận 3	tin thường	01/10/2024	lê văn sỹ
121078	3.59	56	4.0	3.0	2	True	đông nam		False	sổ đỏ/ sổ hồng	lê văn thọ	gò vấp	tin thường	01/10/2024	đường lê văn thọ, 8
115886	13.5	105	3.0	3.0	1	False			False	sổ đỏ/ sổ hồng		quận 10	tin thường	23/07/2024	thanh thai, phuong 14
