Cluster,n_floors,area,id,car_place,wc,bedrooms,Distance to center 1,price
1,1.0,57,121356,0,2.0,2.0,10.874742441366918,0.79
1,3.0,16,115827,0,3.0,4.0,3.4019335981119188,2.6
1,5.0,32,115833,1,2.0695912891063637,4.0,5.458846219878293,3.0
1,3.0,38,115834,1,4.0,3.0,4.487380763161082,4.6
1,4.0,76,115837,1,4.0,4.0,8.500217179306416,3.45
1,1.0,64,115839,1,2.0,2.0,3.8077555256837043,3.95
1,1.0,30,121251,1,1.251627780882852,1.8058998370811168,6.32091555825323,0.007
1,2.0,25,121252,0,2.666327963066186,3.0,12.516438194381095,0.125
1,1.0,70,121247,1,2.0,3.0,2.300126380424939,4.7
1,1.0,80,121248,1,2.0,2.0,2.0450940625313727,4.7
0,1.0,35,121244,0,2.0,2.0,6.955915646215737,6.8
0,1.0,64,121245,1,2.0,2.0,14.28050937911547,5.4
1,2.0,56,121243,1,3.0,3.0,4.856527040449224,5.15
1,4.0,20,121225,1,3.0,2.0,4.365920147552636,5.9
0,2.0,75,121217,1,2.0,3.0,13.298645264275892,5.3
1,3.0,16,121196,1,2.1378021497325514,2.0,3.9346085877772365,2.35
1,1.0,65,121200,0,4.0,4.0,2.254380410215329,8.4
1,1.0,66,121202,1,2.0,2.0,9.43539415646605,5.8
0,1.0,70,121203,1,2.0,2.0,5.607073173110868,5.78
1,2.0,70,121204,1,2.0,2.0,5.227868524297255,5.8
1,3.0,52,121205,1,3.0,3.0,1.4215171995520062,5.7
1,4.0,30,121208,0,4.0,4.0,2.254380410215329,4.2
1,1.0,48,121169,1,2.0,2.0,5.643522772344393,3.45
1,2.0,48,121184,0,3.0,3.0,5.571107569435144,4.95
1,1.0,55,121177,0,2.0,2.0,8.859585790235597,0.007
1,1.0,27,121182,1,2.0,1.0,7.231900560215816,2.7
1,2.0,38,121154,1,2.0,3.0,6.794588917964383,4.65
0,2.0,56,121157,0,3.0,3.0,7.969963399785323,6.85
1,1.0,130,121165,0,3.0,3.0,3.669396662610192,5.99
0,2.0,64,121130,0,5.0,5.0,11.57769118826179,10.2
0,1.0,52,121131,1,1.516917932118114,2.432982698518068,13.255622812452717,2.0
0,3.0,64,121133,1,2.0,2.0,13.00123440312854,6.3
1,3.0,29,121136,0,4.0,4.0,4.564879663686903,6.0
0,2.0,33,121139,0,1.0,1.0,14.595223518914844,2.9
1,3.0,58,121113,0,2.0,3.0,5.644484754348603,4.95
0,2.0,85,121083,1,1.0,3.0,7.969963399785323,7.0
0,1.0,59,121085,0,2.0,2.0,14.595223518914844,1.8
0,2.0,73,121087,1,2.0,3.0,7.474949675986465,6.5
1,5.0,48,121118,1,4.0,4.0,4.190797281872453,5.0
1,2.0,35,121090,0,2.0,2.0,1.694441932925829,5.5
1,3.0,47,121093,0,4.0,3.0,2.5348803272773193,5.5
1,4.0,45,121095,1,3.0,3.0,5.742436299891134,9.0
1,2.0,100,121099,0,2.0,3.0,1.4215171995520062,10.0
1,4.0,55,121004,0,3.0,4.0,1.9519882845305325,6.3
1,3.0,60,121006,0,3.0,3.0,1.9519882845305325,8.0
1,2.0,43,121009,0,2.0,2.0,8.500217179306416,2.75
1,3.0,91,121016,0,3.0,3.0,6.820646102240205,6.4
0,3.0,60,121023,1,3.047967556010282,4.0,12.591257892338866,5.35
0,3.0,64,121027,1,2.0,2.0,13.00123440312854,6.3
1,2.0,50,121028,1,2.676798543231024,2.0,2.5348803272773193,4.8
1,1.0,106,121032,1,2.0,2.0,4.285089719649691,6.7
1,2.0,54,121033,0,3.0,3.0,5.464332997243619,5.009
0,2.0,80,121034,0,2.0,2.0,14.595223518914844,0.0
1,2.0,36,121046,1,4.0,4.0,5.616377556441443,4.78
1,1.0,68,121050,0,1.0,2.0,0.43785745396260844,0.015
1,2.0,37,121053,1,3.0,3.0,6.447283765681278,4.55
1,2.0,73,121054,1,3.0,2.0,4.919351564453138,5.2
1,3.0,96,121057,1,3.0,4.0,4.919351564453138,5.35
1,1.0,50,121077,1,3.0,2.0,3.8407045438448555,3.539
1,2.0,56,121078,1,3.0,4.0,5.373726816051314,3.59
0,2.0,0,118674,0,2.595146007685996,3.0,14.595223518914844,0.0
0,2.0,0,118681,0,2.595146007685996,3.0,14.595223518914844,0.0
0,2.0,100,120899,0,1.0,1.0,7.760969538859813,0.0
0,2.0,56,120906,0,5.0,5.0,8.47226150043727,9.5
0,1.0,84,120909,0,2.0,2.0,14.595223518914844,6.0
1,3.0,33,120911,1,4.0,3.0,3.9346085877772365,4.95
0,3.0,100,121000,0,1.0,2.3254471303922584,7.760969538859813,0.03
1,1.0,54,120924,0,2.0,2.0,5.464332997243619,5.35
0,1.0,46,120949,1,3.0,3.0,9.22909654221742,6.7
1,2.0,30,120954,1,2.0,2.0,3.5612106149856797,3.9
1,3.0,20,120956,0,3.0,2.0,2.8705083032494345,5.4
1,1.0,48,120958,1,3.048136071865363,3.224387753584568,1.968887161729947,5.8
1,3.0,20,120961,0,3.0,2.0,2.8705083032494345,5.4
1,2.0,33,120967,0,2.0,2.0,3.1473223683010496,3.6
1,3.0,65,120971,0,3.0,2.0,4.6320837904280205,6.9
1,2.0,50,120977,1,2.0,4.0,1.4215171995520062,3.9
1,4.0,12,120991,1,2.0,3.0,2.8705083032494345,1.82
1,4.0,12,120993,1,2.0,3.0,2.8705083032494345,1.8
1,5.0,85,118995,1,4.0,4.0,13.54240116531919,7.0
1,3.0,54,120796,0,3.0,4.0,6.643870766722011,5.9
1,5.0,25,120802,1,3.0,3.0,4.677145411474819,5.35
1,2.0,32,120804,0,2.0,2.0,7.73216099486328,1.45
1,4.0,64,120812,0,4.0,4.0,5.6820983850030675,5.8
0,4.0,60,120817,0,3.0,4.0,14.595223518914844,6.7
0,2.0,63,120877,1,2.0,2.0,7.047163313075301,5.89
1,1.0,30,120819,0,2.0,2.0,5.616377556441443,3.8
1,2.0,107,120878,0,1.0,1.0,11.46998986116338,2.5
0,3.0,17,120821,1,3.0,2.0,12.145833474907905,3.23
0,2.0,46,120824,0,2.0,3.0,9.34263437971472,5.0
1,3.0,48,120825,1,3.0,3.0,5.227162593063946,4.3
1,3.0,35,120828,0,2.0,2.0,5.407628028600791,3.55
1,2.0,31,120831,1,3.0,3.0,4.1744882919073785,3.7
1,3.0,88,120836,1,6.0,5.0,9.603270798565221,11.8
0,4.0,80,120837,1,5.0,4.0,14.725592368278527,8.0
1,2.0,63,120838,1,3.0,3.0,5.464332997243619,4.39
0,2.0,72,120842,0,2.0,2.0,14.595223518914844,4.97
0,2.0,72,120843,0,2.0,2.0,14.595223518914844,4.97
1,2.0,38,120862,0,2.0,3.0,3.9346085877772365,5.2
1,2.0,43,120865,0,2.0,3.0,3.7825512968824215,4.98
1,2.0,100,120725,0,1.0,4.901299536085499,2.5348803272773193,11.9
1,1.0,42,120729,0,1.0,2.0,1.4215171995520062,3.5
1,2.0,28,120730,0,2.0,2.0,4.190797281872453,2.5
1,2.0,26,120741,0,3.0,4.0,3.8151736288941187,5.2
1,1.0,27,120753,1,2.0,2.0,5.373726816051314,3.0
1,2.0,29,120760,1,4.0,3.0,2.8705083032494345,5.3
1,1.0,26,120762,0,1.0,1.0,2.16692347350554,2.3
0,1.0,34,120764,0,1.0,1.0,13.298645264275892,2.2
0,4.0,69,120770,1,4.0,3.0,14.089648165338325,7.5
1,3.0,80,120780,0,4.665150444279735,4.159156954061889,2.8999539477620346,9.3
1,2.0,40,120781,0,3.0,3.0,3.5846960927924187,4.55
1,1.0,35,120785,0,2.0,2.0,5.479908180665552,3.75
1,2.0,100,120788,1,1.0,1.0,8.500217179306416,4.1
1,2.0,76,120791,0,5.0,4.0,5.458846219878293,8.7
1,3.0,52,120794,1,4.0,3.0,1.4215171995520062,5.8
1,2.0,36,120710,0,2.00320409407028,2.0,6.643870766722011,2.9
1,2.0,36,120712,0,2.00320409407028,2.0,6.643870766722011,2.9
1,1.0,11,120716,1,3.0,3.0,5.36428871739438,3.85
1,2.0,83,120719,1,2.0,3.0,5.158724746262638,7.0
1,2.0,28,120720,1,2.0,2.0,5.142943264946826,3.99
