	id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	address	latitude	longitude
0	121356	0.79	57	2.0	2.0		False		cơ bản	False	sổ đỏ/ sổ hồng	tân kiên	bình chánh	tin thường	11/10/2024	tân kiên, bình chánh	10.7138202	106.5893264
1	121355	0.1	80	19.0	19.0		False		nội thất đầy đủ	True		lê hồng phong	quận 10	tin thường	11/10/2024	lê hồng phong, quận 10	10.769337	106.6737017
2	115827	2.6	16	4.0	3.0	3.0	False			False	sổ đỏ/ sổ hồng	lý thường kiệt	quận 10	tin thường	22/07/2024	lý thường kiệt, quận 10	10.7584565	106.6620152
3	115833	3.0	32	4.0		5.0	True			False	sổ đỏ/ sổ hồng		quận 6	tin thường	22/07/2024	quận 6	10.745886	106.6392921
4	115834	4.6	38	3.0	4.0	3.0	True			False	sổ đỏ/ sổ hồng	tân hóa	quận 6	tin thường	22/07/2024	tân hóa, quận 6	10.7550202	106.6374474
5	115835	17.8	66	6.0	6.0	5.0	True			True	sổ đỏ/ sổ hồng	hương giang	quận 10	tin thường	22/07/2024	hương giang, quận 10	10.7817477	106.6632592
6	115836	7.9	80	2.0	2.0	1.0	False			True	sổ đỏ/ sổ hồng	nguyễn ngọc lộc	quận 10	tin thường	22/07/2024	nguyễn ngọc lộc, quận 10	10.7672231	106.6632752
7	115837	3.45	76	4.0	4.0	4.0	True			False	sổ đỏ/ sổ hồng	tân chánh hiệp	quận 12	tin thường	22/07/2024	tân chánh hiệp, quận 12	10.8678527	106.6231544
8	115838	0.06	400	5.0	6.0	3.0	True			True	sổ đỏ/ sổ hồng	sư vạn hạnh	quận 10	tin thường	22/07/2024	sư vạn hạnh, quận 10	10.7696326	106.67078
9	115839	3.95	64	2.0	2.0		True			False	sổ đỏ/ sổ hồng	đường đinh xuân nghi	bình tân	tin thường	22/07/2024	đường đinh xuân nghi, bình tân	10.7701658	106.6210149
10	115840	13.2	50	4.0	4.0	3.0	False			True	sổ đỏ/ sổ hồng	cao thắng	quận 10	tin thường	22/07/2024	cao thắng, quận 10	10.7752595	106.6707184
