Date	Type	ID	Title	Location1	Location2	Description	Area	Bedrooms	Legal	WC	House orientation	Furniture	Price
11/10/2024	Tin Thường	121355	nhà mặt tiền cho thuê nguyên căn	Quận 10 , Hồ Chí Minh	LÊ HỒNG PHONG	"nhà mặt tiền cho thuê nguyễn căn, vỉa hè rộng, đối diện VIỆT NAM QUỐC TỰ
Khu kinh doanh sầm uất, đa ngành nghề
LIÊN HỆ : A HOAN 0.9.1.3.1.6.7.8.0.5."	80	19	Mức giá	19	nan	nội thất đầy đủ	100 triệu/tháng
11/10/2024	Tin Thường	121350	BÁN NHÀ RIÊNG QUẬN 10 – 38M2 – 4 TẦNG HCĐ – HẺM 3M – CHỈ 4.X TỶ	Quận 10 , Hồ Chí Minh	Phường 14, Quận 10, Hồ Chí Minh	"• Diện tích: 38m2, 4 tầng kiên cố (BTCT) Hoàn công đủ 3 PN
• Hẻm 3m, cách 20m ra hẻm xe tải.
• Pháp lý rõ ràng, công chứng trong ngày.
• Giá: 4.45 tỷ thương lượng khách thiện chí.
• L/H: #Thịnh_0986.099.894 xem nhà"	38	2	Sổ đỏ/ Sổ hồng	2	nan	Nội thất cơ bản	4 tỷ 450 triệu
11/10/2024	Tin Thường	121346	CĂN HỘ DỊCH VỤ GIÁ RẺ TRUNG TÂM PHƯỜNG BÌNH TRƯNG TÂY, TP.THỦ ĐỨC	Quận 2 , Hồ Chí Minh	25/19 Đường 38 phường Bình trưng tây, thành phố thủ đức	"Diện tích: 35- 40m2; Giá thuê: 4,5tr-5tr/tháng (tương ứng diện tích và tiện ích phòng, mỗi phòng tối đa 4 -5 người).
+ Đặt cọc 1 tháng + trả trước 1 tháng
+ Điện chính có đồng hồ riêng từng phòng, nước 100k/người, phí dịch vụ chỉ tính người lớn 200.000k/người (giặt đồ, vệ sinh, rác, an ninh, camera, giữ xe…)
+ Phòng trống không nội thất, có wc riêng từng phòng, có ban công riêng, hẻm xe hơi, nằm trong khu dân cư văn minh, yên tĩnh
+ Phòng thoáng mát, sạch sẽ, FREE WIFE, tầng hầm gửi xe rộng rãi có camera quan sát.
+ Khu trung tâm tiện ích đầy đủ: gần siêu thị,chợ truyền thống, bệnh viện, trường học. Xung quanh có tổ hợp ăn uống, gym, quán cafe, tiện ích nhu yếu phẩm,…Giao thông di chuyển thuận tiện cách Cầu Giồng ông Tố 500m.
+ Giờ giấc tự do, không chung chủ, ra vào khóa vân tay, an ninh tốt thích hợp cho sinh viên, nhân viên văn phòng, gia đình nhỏ thuê ở .
Địa chỉ: 25/19, Đường 38, Phường Bình Trưng Tây, TP.Thủ Đức, HCM (đối diện trung tâm y tế quận 2 – ngay cây xăng Nguyễn Duy Trinh (chợ Giồng Ông Tố)
Liên hệ chính chủ ĐT/ZALO: 0978473249 (phương)"	35	nan	Mức giá	nan	nan	nan	4 triệu 500 nghìn/tháng
10/10/2024	Tin Thường	121324	Nhà HXT Trường Chinh Tân Bình, ngang 4, DT 58m2. Giảm sốc 900tr còn 7.9 Tỷ.	Tân Bình , Hồ Chí Minh	Trường Chinh, Tân Bình	"Nhà HXT Trường Chinh Tân Bình, ngang 4, DT 58m2. Giảm sốc 900tr còn 7.9 Tỷ.
- Hẻm nhựa trước nhà, oto quay đầu. đỗ cửa thoải mái nguyên ngày.
- Kết cấu: 2 lầu, 3PN, 2WC. Xây cao thêm tầng theo ý thích như hàng xóm. Hướng nhà mát mẻ.
- Vị trí kinh doanh tuyệt đẹp, tiện ích đầy đủ xung quanh. Kế Bàu Cát, ngã tư Bảy Hiền.
- Nhà gần trường học các cấp, bệnh viện, chợ, bhx, chtl đầy đủ.
- Pháp lý chuẩn, sổ hồng chính chủ, khách thiện chí chủ làm thủ tục ngay trong ngày.
- Lh em Trinh: 0908721026 gặp trực tiếp chủ để thương lượng."	58	3	Sổ đỏ/ Sổ hồng	2	nan	nan	7 tỷ 900 triệu
09/10/2024	Tin Thường	121314	GẤP BÁN NHÀ NGUYỄN NGỌC LỘC - QUẬN 10 - 4 Tầng – 38m2– HẺM 3M - CHỈ 4.X TỶ	Quận 10 , Hồ Chí Minh	Nguyễn Ngọc Lộc Quận 10	"- Mô tả:
• Diện tích: Gần 40m2, 4 tầng kiên cố (BTCT) – 4 phòng ngủ ấm cúng.
• Vị trí: Trung tâm Quận 10, gần Đại học Hoa Sen và sân vận động Phú Thọ.
- Tiện ích xung quanh:
• Hẻm trước nhà rộng 3m, yên tĩnh và an ninh.
• Gần các trường học, bệnh viện, hồ bơi, siêu thị….
-Pháp lý và giá bán:
• Hoàn công đầy đủ, pháp lý rõ ràng – ngân hàng hỗ trợ vay hơn 4 tỷ.
• Giá bán: 4.65 tỷ đồng (có thương lượng cho khách thiện chí).
• 📞 Liên hệ ngay để xem nhà: #Thịnh_0845.999.975"	38	2	Sổ đỏ/ Sổ hồng	2	nan	Nội thất cơ bản	4 tỷ 450 triệu
09/10/2024	Tin Thường	121323	☘️☘️☘️Chủ Cần Tiền Bán Gấp căn NHÀ ĐẸP đường số 21 P8 Q.Gò Vấp- Giá 8,29tỷ thượng lượng	Gò Vấp , Hồ Chí Minh	Đương số 21	"▪️ Hướng : Đông Nam ,
▪️ Kết cấu : 1 trệt 3 lầu sân thượng gồm 1 sân vườn rộng gara xe hơi phòng khách bếp 3 pn trong đó 1 pn master 5 tolet phòng thờ sân thượng trước sau,
▪️ Đường : 5m xe hơi vào nhà nhà đậu được 2 chiếc,
▪️ Diện tích : Ngang 4.5m dài 13m,
▪️ Pháp lý : Sổ hồng riêng,
▪️ Nội thất bàn giao : Full option ,
,
🌹 Vị trí: Gần Ngã 3 Tân Sơn va Quang Trung ,
,,,
🌹Pháp Lý: sổ hồng riêng, công chứng ngay.,"	50	4	Sổ đỏ/ Sổ hồng	3	nan	nan	7 tỷ 900 triệu
08/10/2024	Mã tin	121279	🍀💥Cho thuê căn hộ chung cư Sky Garden Phú Mỹ Hưng, Quận 7💥🍀	Quận 7 , Hồ Chí Minh	PPM4+R96, Nguyễn Đổng Chi, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh	"🍀💥Cho thuê căn hộ chung cư Sky Garden Phú Mỹ Hưng, Quận 7💥🍀
🏪 Gần trường học & Bệnh viện Quốc tế, Chợ Tân Mỹ - Tân Quy, TTTM Vivo City, Cresent Mall, Lotte Q7, Đại Học Tôn Đức Thắng, RMIT, HV An Ninh,...
☘️ Đ𝕒̣̆𝕔 𝕓𝕚𝕖̣̂𝕥:
• 𝐇𝐚̀𝐧𝐠 𝐱𝐨́𝐦 𝐯𝐚̆𝐧 𝐦𝐢𝐧𝐡, đ𝐨𝐚̀𝐧 𝐤𝐞̂́𝐭.
• 𝐕𝐢𝐞𝐰 𝐭𝐡𝐨𝐚́𝐧𝐠 𝐯𝐢̃𝐧𝐡 𝐯𝐢𝐞̂̃𝐧 𝐯𝐚̀ 𝐬𝐚̂𝐧 𝐜𝐡𝐮𝐧𝐠 𝟓𝟎𝟎𝐦𝟐 𝐬𝐮̛̉ 𝐝𝐮̣𝐧𝐠 𝐫𝐢𝐞̂𝐧𝐠.
🍀💥68.66m
2 phòng ngủ 2 vệ sinh💥🍀
nhà mới 100% full nội thất
📲Lh: 0902896598"	69	2	Sổ đỏ/ Sổ hồng	2	Bắc	nội thất đầy đủ	20 triệu/tháng
08/07/2024	Tin Thường	115637	Bán Nhà MẶT TIỀN KD đường Trường Sơn,Q.Tân Bình,DT:4,5mx23m,KC:4 lầu,,Giá:18,5 tỷ	Tân Bình , Hồ Chí Minh	Đường Trường Sơn, 4	"Bán Nhà MẶT TIỀN KD đường Nguyễn Trọng Lội Phường 4,QuậnTân Bình,
DT:4,5mx23m,
KC:TRỆT,3 lầu
Pháp lý sổ hồng đầy đủ.
Giá Bán: 18,5 tỷ còn thương lượng.
Cập nhật thêm thông tin chi tiết pháp lý, giá bán hoặc xem nhà liên hệ 0932613054"	404	8	Sổ đỏ/ Sổ hồng	10	nan	nan	18 tỷ 500 triệu
07/10/2024	Tin Thường	121253	[QUẬN 1] Cho thuê NHÀ NGUYÊN CĂN CHÍNH CHỦ - 1 bếp 2 phòng ngủ 2 wc	Quận 1 , Hồ Chí Minh	53/8 Hồ Hảo Hớn P. Cô Giang Q. 1	"- Quận 1 hẻm yên tĩnh, an ninh, có camera. Gần chợ, ĐH Mở - ĐH Văn lang, Vinmart, siêu thị 24h, bệnh viện, trường cấp 1-2-3,...
- Giá 11.000.000/tháng (thỏa thuận) - chưa bao gồm điện nước cáp internet
- Nội that cơ bản, tủ lạnh, máy giặt, nước nóng lạnh - dọn vào ở ngay. Mỗi tầng có ban công riêng, sân thượng thoáng mát
- Thích hợp cho sinh viên/người đi làm ở ghép, gia đình ...
- Liên hệ: 0937 537 124 Cô Xuân"	14	2	Mức giá	2	nan	Nội thất cơ bản	11 triệu/tháng
07/10/2024	Tin Thường	121257	Bán Nhà Quận 6 - Kinh Dương Vương - Hẻm Xe Tải - 65M - Nhỉnh 10 Tỷ	Quận 6 , Hồ Chí Minh	Kinh Dương Vương, Phường 13, Quận 6	"Cần bán nhà Đường Kinh Dương Vương, Phường 13, Quận 6, Hồ Chí Minh.
Pháp lý rõ ràng.
Số tầng: 3
Giá: 10,8 tỷ VND
Diện tích: 65 m2
Số phòng ngủ: 4
Số toilet: 4
Nhà được xây dựng chắc chắn với thiết kế hiện đại, phù hợp cho gia đình lớn.
Vị trí thuận lợi, dễ dàng di chuyển đến các khu vực lân cận. Ngay sát khu ẩm thực.
Không gian sống thoải mái với đầy đủ tiện nghi."	65	4	Sổ đỏ/ Sổ hồng	4	nan	nan	10 tỷ 800 triệu
